"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"101","Asociacion Civil Esencias","Lima","Lima","Rimac","Flores Alpacca,  Johan Carlo","Educacion/Justicia/"
"102","Asociacion Civil Forjando Talentos Andres Bello","Lima","Lima","San Juan De Miraflores","Seijas Valles,  Alfredo Alfonso","Educación/Mujer y Desarrollo Social/"
"103","Asociacion Civil Fundacion contra el Hambre y la Pobreza en el Callao","Lima","Callao","Callao","Yangali Gamarra,  Luis Antonio","Mujer y Desarrollo Social/Salud/"
"104","Asociacion Civil Giordano Liva Del Cusco","Cusco","Cusco","San Sebastian","Calderon Concha,  Percy","Agricultura/Educacion/Mujer y Desarrollo Social/Salud/PCM/"
"105","Asociacion Civil Hijos de la Esperanza","La Libertad","Trujillo","La Esperanza","Herrera Torres,  Glicerio Ulises","Mujer y Poblaciones Vulnerables/"
"106","Asociacion Civil Ilo ONGD","Moquegua","Ilo","Pacocha","Manrique Ramos,  Jose Alberto","Mujer y Desarrollo Social/Salud/"
"107","Asociacion Civil Impacta Salud Y Educación","Lima","Lima","Barranco","Ojeda Celi,  Jose Joaquin","Educación/Salud/"
"","","","","","Sanchez Fernandez,  Jorge Luis",""
"","","","","","Villaseca Carrasco,  Raul",""
"108","Asociacion Civil Instituto Peruano de la Ciencia y la Cultura","Lima","Callao","Callao","Olano Soriano,  Luis Eloy","Educación/"
"109","Asociacion Civil Internacional ""Emanuel"" de las Asambleas de Dios","Junín","Satipo","Satipo","Surichaqui Romo,  Pablo Zenon","Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/Educacion/"
"110","Asociación Civil Inti Runakunaq Wasin","Cusco","Cusco","San Jeronimo","Figueroa Arias,  Luz Marina","Mujer y Desarrollo Social/"
"111","Asociación Civil Kizuna Amazónica","Ucayali","Coronel Portillo","Calleria","Kitsutani Kian,  Hernan Armando","Agricultura/Comercio/Otros/"
"112","Asociación Civil Labor                                                                                                  ","Moquegua","Ilo","Ilo","Mariscal Flores,  Jesus Manuel","Agricultura/Industria/Salud/"
"113","Asociación Civil Liderar y Servir","La Libertad","Trujillo","Trujillo","Boulangger Montoya,  Jhonatan Rolando","Mujer y Desarrollo Social/"
"114","Asociación Civil Living Water International Peru","Cajamarca","Cajamarca","Cajamarca","Rivera Cueva,  Jaime Rafael","Cultura/ Mujer y Poblaciones Vulnerables/Educacion/"
"115","Asociacion Civil Llamkarisun","Huancavelica","Huancavelica","Huancavelica","Taipe Quispe,  Alipio","Agricultura/Educacion/Justicia/Mujer y Desarrollo Social/Salud/"
"116","Asociacion Civil Neoandina","Lima","Lima","Santiago De Surco","Shimabukuro Maeki,  Luis Enrique","Agricultura/Mujer y Desarrollo Social/"
"117","Asociacion Civil ONG Camina Conmigo","Cajamarca","Cajamarca","Cajamarca","Abanto Morales,  Gladis Del Socorro","Educacion/Mujer y Desarrollo Social/Trabajo y Promocion Social/PCM/"
"118","Asociacion Civil Organismo No Gubernamental Comunidad Participativa Trabajo Y Realidad","Huánuco","Leoncio Prado","Rupa-Rupa","Hidalgo Panduro,  Roger","Agricultura/Educación/Producción/Otros/"
"119","Asociacion Civil Organismo No Gubernamental de Desarrollo - Apoyo a Los Niños Desamparados y Adulto Mayor","Lambayeque","Chiclayo","Pimentel","Jimenez Garcia,  Martha Dominica","Educacion/Mujer y Desarrollo Social/"
"120","Asociacion Civil Organismo No Gubernamental de Desarrollo Amigos de la Selva","Loreto","Maynas","Iquitos","Rodriguez Vela,  Hector","Mujer y Poblaciones Vulnerables/ Producción/Ambiente/"
"121","Asociacion Civil Organismo No Gubernamental de Desarrollo Asistencia Social Integral para Mejoras de Condicion de Vida","Lambayeque","Chiclayo","Pimentel","Chuquizuta Mendoza,  Emerson","Mujer y Poblaciones Vulnerables/Justicia y Derechos Humanos/"
"122","Asociación Civil Organismo No Gubernamental de Desarrollo Oasis de Esperanza","Cajamarca","Chota","Chota","Osores Quispe,  Manuel Absalon","Cultura/ Mujer y Poblaciones Vulnerables/Educacion/"
